latitude, longitude
40.63788, -8.65855
40.63771, -8.65865
40.63654, -8.65936
40.63648, -8.6594
40.6363, -8.65951
40.63625, -8.65954
40.63606, -8.65966
40.63563, -8.65993
40.63486, -8.66041
40.63373, -8.66114
40.63352, -8.66127
40.63309, -8.66146
40.63212, -8.66186
40.63179, -8.66193
40.63152, -8.66191
40.63135, -8.66185
40.63123, -8.66181
40.63095, -8.66165
40.63085, -8.66158
40.6305, -8.66124
40.62963, -8.66007
40.62962, -8.66006
40.62951, -8.65992
40.62951, -8.65992
40.62963, -8.65974
40.62979, -8.65954
40.63008, -8.65916
40.62999, -8.65904
40.62999, -8.65904
40.62999, -8.65904
40.6299, -8.65892
40.62974, -8.6587
40.62939, -8.65822
40.62898, -8.65767
40.62887, -8.65753
40.62876, -8.65737
40.62867, -8.65722
40.62858, -8.65698
40.62851, -8.65677
40.62849, -8.65653
40.62849, -8.65633
40.62851, -8.65614
40.62855, -8.65595
40.62859, -8.65581
40.62862, -8.65575
40.62873, -8.65555
40.62898, -8.65522
40.62912, -8.65506
40.62923, -8.65496
40.62934, -8.65491
40.62952, -8.65486
40.62972, -8.65483
40.62984, -8.65485
40.62989, -8.65486
40.62996, -8.65488
40.62996, -8.65488
40.63017, -8.65459
40.63027, -8.65443
40.63029, -8.65439
40.63035, -8.65428
40.63041, -8.65411
40.63041, -8.65411
40.63041, -8.65408
40.6304, -8.65407
40.6304, -8.65404
40.6304, -8.65403
40.6304, -8.65403
40.63041, -8.654
40.63043, -8.65397
40.63044, -8.65395
40.63046, -8.65393
40.63049, -8.65392
40.63051, -8.65392
40.63053, -8.65393
40.63056, -8.65394
40.63058, -8.65397
40.63059, -8.654
40.6306, -8.65406
40.63059, -8.65411
40.63059, -8.65411
40.63162, -8.65473
40.63183, -8.65485
40.6325, -8.65526
40.63309, -8.65562
40.63326, -8.65571
40.63355, -8.65588
40.63363, -8.65592
40.6337, -8.65596
40.63375, -8.65599
40.6338, -8.65602
40.63385, -8.65605
40.63389, -8.65607
40.63415, -8.65623
40.63425, -8.65626
40.63438, -8.65626
40.63447, -8.65623
40.63454, -8.65618
40.63462, -8.6561
40.63467, -8.65606
40.63471, -8.65601
40.63479, -8.65594
40.63493, -8.6558
40.63516, -8.65562
40.63516, -8.65562
40.63519, -8.65554
40.63524, -8.65543
40.63533, -8.65533
40.63546, -8.65526
40.63554, -8.65532
40.6356, -8.65537
40.6356, -8.65537
40.63572, -8.6555
40.6358, -8.65561
40.63587, -8.6557
40.63589, -8.65575
40.63605, -8.65597
40.63622, -8.65619
40.63636, -8.65637
40.63648, -8.65653
40.63651, -8.65657
40.63658, -8.65666
40.63665, -8.65674
40.63683, -8.65696
40.63732, -8.65759
40.63739, -8.65769
40.63751, -8.65785
40.63754, -8.6579
40.6376, -8.65798
40.63769, -8.65814
40.63774, -8.65824
40.63778, -8.65832
40.63788, -8.65855
40.63791, -8.65861
40.63791, -8.65861
40.63797, -8.65862
40.63797, -8.65862
